id,work_package,num,name,path,description
1,WP2,T251,T25_dayahead,Day_ahead_aggregator_tool,"Day Ahead Optimization Tool"
2,WP2,T252,T25_realtime,Real_time_tool,"Real Time Optimization Tool"
3,WP2,T26,T26_marketSimul,Market_Simulator,"Market Simulator ...."
4,WP3,T31,T31_optToolDx,,"Optimisation tool for distribution network planning"
5,WP3,T32,T32_optToolTx,,"Optimisation tool for transmission network planning"
6,WP3,T33,T33_optToolPlanTsoDso,,"Optimisation tool for planning TSO/DSO shared technologies"
7,WP4,TSG,T41_windpv,Wind_and_PV_Scenario_Gen_Tool,"Wind and PV scenario generation module"
8,WP4,T40,T41_stochasticmp,Stochastic_MP-ACOPF_benchmark_tool,"Tool for ancillary services activation in day ahead (Dx)"
9,WP4,T41,T41_Tractability_Tool,Tractability_Tool,"Tool for ancillary services activation in day ahead (Dx)"
10,WP4,T42,T42_asRealTimeDx,,"Tool for ancillary services activation in real time (Dx)"
11,WP4,T43,T43_stateEstimator,,"State Estimator Tool"
12,WP4,T44,T44_asDayheadTx,TOOL_4.4_Ver1,"Tool for ancillary services activation in day ahead (Tx)"
13,WP4,T45,T42_asRealTimeTx,,"Tool for ancillary services activation in real time (Tx)"
14,WP4,T46,T46_odsa,,"Tool For Online Dynamic Security Assessment"
15,WP5,T511,T51_characterization,Tool5.1-main_custom,"Charaterization Tool"
16,WP5,T52,T52_indicator,,"Tool for the definition of condition indicators"
17,WP5,T53,T53_management,,"Tool for the definition of smart asset management strategies"
18,WP5,T512,T51_monitoring,Tool5.1-main_custom,"Monitoring Tool"
