id;bus_num;voltage_ratio;insulation_medium;type;indoor_outdoor;annual_max_load_kva;age;external_condition;rating_kva;num_connected_customers;num_sensitive_customers;backup_supply;cost_of_failure_euro
1;55032;navigating circuit;Pre-emptive;Representative withdrawal;withdrawal Bedfordshire;30204;38432;Nepalese technologies;82019;72600;44043;Wooden Tuna invoice;58551
2;19862;Computer Computers;Persevering Awesome;Comoros;Virtual synthesizing;60432;65078;deposit impactful Dynamic;46888;84284;12902;Web Credit ADP;37346
3;97351;Multi-layered Guatemala;copy Comoros;SMS Innovative;enhance blue Massachusetts;44139;78057;Group bypassing Salad;99984;1995;75081;disintermediate brand Chicken;8101
4;43825;framework;Metal;Auto;Vision-oriented Steel;69856;64145;Generic;76056;43951;62197;solution-oriented syndicate;2317
5;9705;payment;Frozen;Switchable;firewall Metal Rial;51787;16279;Security mission-critical;19418;11733;35311;Interface tan;24901
6;95592;mesh Sleek Shirt;Rubber Berkshire Island;Papua throughput reboot;Solutions;87937;84581;Operations optical Architect;90853;6209;84115;deliver Configuration;38864
7;76108;Borders;methodologies synthesizing;generate panel;Directives copy Romania;45664;8566;incentivize;36615;6854;82790;Unbranded;55783
8;70141;District;Wooden;Account Dollar;application;78772;52513;Concrete Computers Tonga;11350;22494;82547;deploy;81407
9;89645;Loan;Borders;compress;Ferry Massachusetts;19329;82692;Checking transmitting Grocery;67623;7033;17958;brand Integration flexibility;71491
10;85569;auxiliary Curve Zimbabwe;PCI Zimbabwe;Freeway Object-based;Fantastic integrate Idaho;68098;13849;national Borders Soft;60547;93444;18011;task-force Generic;71806
