id;bus_num;type;total_energy_consumption;unit_of_measure
1;44063;program Books harness;32301;Lead Berkshire Mouse
2;21825;client-server;51247;target Steel grey
3;59414;Avon Florida;69;California
4;96844;red Sleek;96551;sky withdrawal Landing
5;47474;exploit;44989;initiatives Down-sized Rustic
6;79308;Dynamic Money;13723;Metal XML driver
7;14224;evolve;68708;Account website Fresh
8;8028;Integration Gloves;17399;Mouse systems generating
9;86413;Manager Personal;39544;reboot Borders
10;51494;Seamless infrastructures;42187;Assistant
