id;fbus;tbus;r;x;b;ratea;rateb;ratec;tap_ratio;angle;status;angmin;angmax
1;50274;33001;81220;33166;68040;47023;60396;16811;54358;36747;61787;60652;71046
2;45998;15517;19715;25872;66000;99854;79914;32082;91454;96931;5577;28010;3599
3;39748;2055;32650;31522;63835;1082;6248;16309;47984;96626;96016;59848;82149
4;27334;99030;93543;10949;87088;6307;91330;64782;15047;90835;70630;42237;64281
5;26572;58572;11730;99403;77293;99656;84466;32213;84542;35473;67271;20744;45882
6;19309;67385;65670;72128;24360;20709;56278;39010;30656;43587;44402;41815;81184
7;97792;18715;65082;20372;17827;92929;62773;23947;85563;95111;33042;15276;21669
8;78436;14693;61697;31693;71896;46009;33225;19825;91223;58142;36941;37512;28352
9;56167;49495;14590;61576;89428;91549;15401;94503;12667;37124;72227;88988;29569
10;38975;55254;3723;4621;31414;97886;60331;35875;41913;99712;27811;30542;41712
