id;step_size;act_tap;min_tap;max_tap;normal_tap;nominal_ratio;r_ip;r_n;r_0;x_0;b_0;length;norm_stat;g;m_rid
1;37658;83684;5864;21234;36498;87007;5383;86111;47516;46732;99235;98174;72405;19745;User-centric Account
2;7235;44485;42445;45921;33081;49809;95601;79721;32827;36148;60584;93635;23160;50624;Buckinghamshire
3;54292;5873;78489;62765;29303;15032;94405;91577;21966;51716;40032;88218;74762;46174;overriding
4;74348;38916;61974;90698;52904;40606;17698;63210;67871;87562;50527;56705;14347;77529;open-source killer Corporate
5;12607;55575;55869;98432;30778;37807;61861;44729;2441;2639;57064;77652;52113;700;Director
6;20892;38844;41088;65788;11309;69407;67883;50622;90793;99753;14720;13556;30946;89588;Shoes Cheese
7;58546;32497;36020;50326;27566;34785;37999;96425;28961;15275;33498;55478;25381;84524;Kansas national Concrete
8;42481;71933;53603;1169;57584;42057;60982;77789;36580;69302;65656;88057;71728;32778;Buckinghamshire mint Universal
9;55231;59586;40292;83676;35651;59527;77280;76215;27122;1480;59022;85047;66099;5662;USB
10;4224;101;21470;9422;9249;13942;71170;63014;33806;87812;89854;52481;63480;42728;revolutionize Data
