id;season;typical_day;mode;time_interval;upload_date_time
1;Roads;parse;97784;44579;2022-07-18T00:03:03
2;interactive Music Throughway;Bedfordshire Director;88864;99237;2022-07-18T08:44:14
3;RAM synthesize;workforce Sleek;82238;3981;2022-07-17T23:55:57
4;capacity;Sausages Handcrafted;26261;2146;2022-07-18T01:42:34
5;sticky Licensed Steel;Usability;31144;47815;2022-07-18T01:53:13
6;generate Mouse card;Arkansas;12698;12113;2022-07-18T01:58:38
7;Fresh;visionary data-warehouse Administrator;25014;68060;2022-07-18T08:04:30
8;Mouse withdrawal;e-enable Soft Soft;4614;25861;2022-07-18T02:05:42
9;card Buckinghamshire;Buckinghamshire;97059;94618;2022-07-18T03:06:46
10;green;withdrawal Salad;54348;87330;2022-07-17T22:58:13
