id;bus_num;type;active_power;reactive_power;conductance;susceptance;area;vm;va;base_kv;zone;vmax;vmin
1;21686;53908;64673;9453;17656;42288;6174;63851;7931;46315;77724;72453;30907
2;43510;13204;49374;24723;26813;53786;40815;75814;55559;27120;31334;1211;77230
3;53074;11634;33838;76624;17116;8937;52190;43550;98052;27573;3256;76424;66021
4;84605;71963;42144;83716;99171;60189;59501;21944;61701;33513;19759;21281;37904
5;60576;78870;97899;13562;77575;91474;99865;94706;17156;84706;3009;14085;12324
6;78192;9929;26838;67479;63926;81010;76925;87016;84943;38969;46245;51591;48036
7;17995;38943;29095;5659;7053;55820;50698;25604;23980;91028;93988;32903;57515
8;20725;76410;68668;64382;5271;11875;24656;26344;74633;21734;59193;60091;24283
9;28743;12921;85125;32954;37723;54692;5594;33634;5829;9327;92899;31795;1227
10;92643;85974;90789;30259;62464;52753;4287;80084;67446;16745;81133;33706;15412
