id;has_gen;is_load;snom_mva;sx;sy;gx;gy;status;increment_cost;decrement_cost;m_rid
1;79416;93106;65506;31535;88755;22757;11747;18044;71776;30002;United
2;92961;58267;95158;570;79700;55066;95278;83287;50100;87488;Toys Berkshire Agent
3;2841;74145;21781;58748;44213;10670;11427;11096;51939;52478;ability
4;40963;58697;68074;17320;55040;78026;89280;86275;37113;29132;plum Texas Florida
5;5604;29248;59535;4824;90452;1798;76173;29798;20243;53517;morph Borders exuding
6;14063;51942;84068;568;78063;8997;29428;87898;46156;82777;SMTP
7;69444;20582;73308;28138;2991;89888;25049;67710;83938;85605;Small directional
8;35140;62521;39543;4525;37297;6219;53976;43111;63474;5638;Generic generate magenta
9;40678;15613;35166;21457;24214;72012;59030;63382;66420;92128;BEAC
10;23813;67886;75890;69220;7216;23364;37951;22839;69412;5606;Outdoors Configuration Monitored
