id;bus_num;model;n_cost;cost_pr;cost_qr;cost_pf;cost_qf
1;87680;63027;44466;60489;65308;workforce;Generic Outdoors
2;85287;12937;31635;66964;81818;Ville;Florida
3;58088;18498;61481;17020;54678;up;Devolved
4;20325;81327;76160;79002;72523;USB;Kids Tools
5;30626;35180;44528;40289;16372;Rubber SSL;Rwanda
6;58025;70305;79800;34339;34888;Overpass Progressive;transmit Towels Cambridgeshire
7;49543;26518;58340;1006;31590;transmitting;grey
8;20530;25919;633;7934;20954;quantify recontextualize cross-platform;models Berkshire bypass
9;34175;71790;82889;31897;92956;Fantastic;array Iraq Mobility
10;30767;37334;23254;6848;57843;Loan Money virtual;Corporate
