id;season;typical_day;mode;time_interval;upload_date_time
1;Metal driver Virtual;enhance;79366;47322;2021-12-22T02:41:03
2;District leverage the;Surinam Garden;1203;82495;2021-12-21T21:38:05
3;mindshare Jewelery Granite;SDD Arizona;97061;84131;2021-12-21T21:49:50
4;Carolina turquoise;Indiana;96285;82718;2021-12-22T07:20:00
5;primary Licensed Jewelery;index Officer payment;58688;30055;2021-12-22T03:26:18
6;Solutions Account expedite;transmit Germany;68361;31339;2021-12-22T00:51:38
7;bypass SMTP;Cuban;60775;54551;2021-12-22T04:34:11
8;markets Practical;Frozen neural;91321;4982;2021-12-21T11:00:38
9;Incredible up;card Mobility back-end;42002;40429;2021-12-22T04:57:05
10;Licensed;website;16169;668;2021-12-21T16:40:07
