id;model;startup;shutdown;n_cost;cost_pf;cost_qf
1;48029;89643;69975;43094;content Lead;Avon
2;9977;83929;88740;38797;initiative;Direct
3;41784;73546;65383;17681;Account eyeballs;foreground
4;91934;63328;55922;70710;Malagasy;Executive
5;68832;48186;67668;24990;Salad Fresh;Technician
6;69446;60892;71897;88821;Kwacha microchip;Accounts Shirt
7;30203;80263;58110;58392;intuitive Buckinghamshire program;generating
8;84122;9358;15679;67312;Optimization superstructure Sleek;leverage Chilean
9;71596;60738;20910;59658;Garden;Savings Forward
10;94939;9023;95303;91174;optical;matrix data-warehouse engineer
