id;season;typical_day;mode;time_interval;upload_date_time
1;Republic) TCP;Product;86417;41884;2021-12-22T00:26:33
2;multi-state;Trafficway firewall connecting;55154;86863;2021-12-22T05:43:02
3;El;reciprocal;70606;8880;2021-12-22T02:20:26
4;West;intangible monetize;54060;93391;2021-12-21T14:00:54
5;primary iterate;payment Awesome neural;32667;75363;2021-12-22T03:18:40
6;Rubber;Cyprus Texas;23930;63821;2021-12-22T08:06:39
7;Avon payment copy;data-warehouse virtual;22381;49139;2021-12-22T02:24:40
8;Cotton;open-source Fish;99459;11971;2021-12-21T12:37:46
9;matrix;Montana Account;59411;7154;2021-12-21T13:22:18
10;grow;grey teal;412;33654;2021-12-21T16:02:12
