id;bus_num;pg;qg;qmax;qmin;vg;m_base;status;pmax;pmin;pc_1;pc_2;qc_1_min;qc_1_max;qc_2_min;qc_2_max;ramp_agc;ramp_10;ramp_30;ramp_q;apf
1;86165;13008;29610;98973;45889;1226;54279;60053;97655;97525;21956;3577;351;15071;37798;4810;95005;79827;76587;44057;772
2;81356;75349;99787;16601;6932;65285;71198;12731;66626;86464;87991;91378;37974;1535;20759;29193;54124;85215;9348;49028;60316
3;58718;48760;24399;68740;94575;77437;48125;90819;38339;3358;28588;42483;33996;395;79123;75115;90304;50869;51735;19355;84339
4;64314;89536;41533;84748;30117;24858;6180;83608;32972;81818;11458;23330;73603;15585;93556;98472;32866;77794;52500;42275;17429
5;97645;66338;86202;18586;43010;24901;26788;68092;27929;23079;20647;63811;58830;39372;92241;14873;34070;23209;70056;89032;38008
6;27313;76580;73968;36776;74333;50721;50037;77155;31371;4155;17170;28681;42644;69326;53843;29069;19584;22375;48735;92476;13725
7;26898;91524;52340;2141;86500;79943;61996;35270;14875;12711;125;24480;62002;2411;11306;71660;95086;65549;108;90270;65560
8;52349;82578;13682;7547;99902;16173;136;34265;79819;95958;4023;44377;16289;32590;11815;87204;75547;92526;52536;57743;33097
9;86275;84759;47057;94425;1859;97412;15472;150;71849;53051;87288;91236;82257;82134;61790;52941;8747;21637;4546;54169;35548
10;90084;58576;7301;26928;26671;82183;67240;42891;77000;51756;99348;3959;72192;55712;2008;40819;61389;76996;44540;97923;19966
