id;name;mpc_name;country;type;description;is_deleted;network_date;version;creation_date_time;update_date_time
1;e-business back-end;Public-key;Guinea-Bissau;New frictionless;deposit XML;false;2021-12-21T17:03:49;49943;2021-12-21T12:42:20;2021-12-21T11:42:33
2;Chips;tolerance Metical;American Samoa;strategic;THX;false;2021-12-21T10:33:14;45745;2021-12-21T19:20:46;2021-12-21T15:01:34
3;Clothing;methodology withdrawal Concrete;Turks and Caicos Islands;Wooden mission-critical lavender;calculate Home;false;2021-12-21T12:05:17;28723;2021-12-22T06:59:49;2021-12-21T21:18:11
4;Borders deposit;connecting Fresh Practical;French Polynesia;Right-sized;Computers fuchsia;false;2021-12-21T15:39:33;60382;2021-12-21T22:27:44;2021-12-22T00:08:23
5;Account parsing Investor;orchestrate interface;Iceland;Rustic revolutionary Uzbekistan;Implemented redundant Arizona;true;2021-12-22T02:14:23;97941;2021-12-22T02:02:21;2021-12-21T13:44:10
6;Tools Cyprus;Money Balboa;Central African Republic;e-enable bleeding-edge;Assurance Supervisor;true;2021-12-21T15:29:40;63813;2021-12-21T15:28:15;2021-12-21T19:55:59
7;enable;program;French Guiana;invoice PCI Creative;facilitate Chair integrate;false;2021-12-22T00:52:57;47866;2021-12-22T01:53:02;2021-12-21T15:09:26
8;Kansas multi-tasking motivating;payment;Bolivia;parsing Square;envisioneer Soft Mall;true;2021-12-21T11:27:37;54726;2021-12-21T11:40:06;2021-12-21T18:07:57
9;wireless protocol;holistic Gorgeous incentivize;Svalbard & Jan Mayen Islands;open-source Cotton;Auto Assimilated District;false;2021-12-21T23:20:23;79178;2021-12-21T14:26:44;2021-12-21T20:30:21
10;Fresh Supervisor;online Clothing Chair;Belgium;fault-tolerant Georgia;synergistic multi-byte;false;2021-12-21T15:56:24;14370;2021-12-21T10:37:11;2021-12-22T06:25:34
