id;electricity_energy;gas_energy;secondary_band;secondary_up;secondary_down;secondary_ratio_up;secondary_ratio_down
1;79596;68527;14519;25738;73101;24328;35011
2;39543;76738;46637;83450;19461;74870;76199
3;71303;55981;60726;26628;49149;92707;20188
4;86469;64569;36803;12593;17935;14858;52508
5;76341;14071;43356;41585;99416;11388;81852
6;56315;64820;57247;31914;29015;97955;40161
7;47621;7848;67844;60660;89614;25945;38561
8;1518;37091;99052;36386;89934;23149;29977
9;53422;4101;36320;17589;6247;99006;84316
10;68732;75611;43401;95525;55494;75025;76330
