id;uuid;description;config_file;config_file_content_type
1;50da396c-b6b5-4aad-ae00-27531133a88b;applications Future Tuna;../fake-data/blob/hipster.png;image/png
2;d12f0bdc-8b4d-4960-81c1-0ffc87ad406a;capacitor;../fake-data/blob/hipster.png;image/png
3;9c725332-9210-4d54-8ded-16d9cb6319a3;Administrator;../fake-data/blob/hipster.png;image/png
4;1ddaa820-fe54-405e-a2cd-9913269e4bb5;Alaska;../fake-data/blob/hipster.png;image/png
5;a257a478-13c2-4b16-bf04-4c2f239e23d0;implement;../fake-data/blob/hipster.png;image/png
6;23bfbe83-a011-4782-a490-9c751c066ee8;neural B2C connecting;../fake-data/blob/hipster.png;image/png
7;e76c1a62-9afc-4e1c-9b1d-1c0353b9c830;Plastic;../fake-data/blob/hipster.png;image/png
8;0afb277a-cd18-454c-ae7c-994e7df9c88c;Usability parsing compress;../fake-data/blob/hipster.png;image/png
9;e234075c-c5d6-405b-b3ce-46f2078fb092;Configuration methodologies;../fake-data/blob/hipster.png;image/png
10;5d939f70-a841-405b-ad90-945c512df4e7;withdrawal;../fake-data/blob/hipster.png;image/png
