id;bus_num;ps;qs;energy;e_rating;charge_rating;discharge_rating;charge_efficiency;thermal_rating;qmin;qmax;r;x;p_loss;q_loss;status;soc_initial;soc_min;soc_max
1;55118;21458;72461;7648;17201;9242;9167;80302;59435;18047;47005;22089;2227;85492;25525;71484;73566;6168;89865
2;16402;3470;37771;29945;96165;33650;81733;59734;44833;30940;88030;72971;62113;67017;55793;64929;26102;65698;43270
3;401;78803;389;45003;35336;48710;9263;51537;70210;79505;25968;91482;88962;82357;54779;65695;92162;28896;18743
4;9076;88080;78080;40156;26525;70520;51038;69356;51804;72325;85731;2584;22776;33311;18708;89813;93445;79148;84089
5;23787;2783;31045;67410;96298;87252;86585;3875;40059;58830;41555;1997;22796;53872;51111;61558;46017;39503;62629
6;41354;93402;45517;18325;9714;60875;18411;98238;76412;46683;58052;39313;75821;91027;15215;38727;92401;37337;51484
7;39556;18688;50492;38579;71742;692;23661;99272;82620;47475;95565;96309;27751;51733;22066;19090;90766;49162;86123
8;9517;82279;72215;83104;8207;56590;75588;16756;71537;66611;85703;25943;11801;62996;52931;65626;87511;90800;36704
9;44630;66158;19452;14935;68751;47226;33196;11027;32648;71330;85022;88035;65220;90285;90107;94559;73079;49724;64627
10;47552;56358;43474;24498;20467;24664;78543;35663;81201;93216;3123;71449;15382;52661;9362;19453;66580;38777;93381
