id;task_status;info;date_time_start;date_time_end
1;withdrawal Avon rich;payment matrices payment;2021-12-22T09:20:20;2021-12-21T23:50:15
2;Baby withdrawal Rubber;back-end;2021-12-21T22:37:08;2021-12-21T12:20:10
3;calculating PNG;Designer Pakistan Licensed;2021-12-21T10:24:49;2021-12-22T05:33:30
4;Fresh Clothing copying;Bacon Health calculating;2021-12-22T08:21:21;2021-12-22T04:02:34
5;Tasty Handmade Orchestrator;Intelligent programming;2021-12-21T10:16:54;2021-12-21T12:40:04
6;Western multi-tasking;input;2021-12-21T11:16:20;2021-12-21T22:31:42
7;green Cedi Legacy;withdrawal Concrete Florida;2021-12-21T18:17:43;2021-12-22T03:34:25
8;Refined compressing;Marino;2021-12-21T20:36:59;2021-12-21T20:00:49
9;deposit Consultant;Shirt purple Reduced;2021-12-21T13:16:33;2021-12-22T06:24:29
10;Toys;card collaboration to;2021-12-21T09:59:15;2021-12-21T13:37:02
