id;file_name;description;data;data_content_type;upload_time
1;invoice;seamless;../fake-data/blob/hipster.png;image/png;2021-12-21T16:25:19
2;Central;benchmark Forest Buckinghamshire;../fake-data/blob/hipster.png;image/png;2021-12-21T13:03:42
3;XSS optical Gateway;quantifying;../fake-data/blob/hipster.png;image/png;2021-12-21T15:57:57
4;indexing loyalty;synthesize Spring;../fake-data/blob/hipster.png;image/png;2021-12-22T00:31:22
5;virtual Car Borders;digital compressing one-to-one;../fake-data/blob/hipster.png;image/png;2021-12-21T21:34:51
6;revolutionary;Specialist;../fake-data/blob/hipster.png;image/png;2021-12-21T15:20:24
7;calculate functionalities Extension;Montana;../fake-data/blob/hipster.png;image/png;2021-12-21T12:12:31
8;e-business;Intranet innovative;../fake-data/blob/hipster.png;image/png;2021-12-21T09:52:54
9;benchmark explicit;Table Carolina;../fake-data/blob/hipster.png;image/png;2021-12-21T12:51:26
10;Buckinghamshire streamline;Synchronised networks;../fake-data/blob/hipster.png;image/png;2021-12-21T22:50:15
