id;power_line_branch;p_1;p_2
1;SMS brand;payment Agent;deliverables Cotton
2;blue Industrial sensor;installation;hack Card Centralized
3;Dynamic matrix Shoes;Sudan Lead Realigned;initiatives
4;Concrete;infrastructures Representative;Outdoors Gorgeous
5;Facilitator Mobility Fresh;USB;Manat
6;Motorway Gloves Identity;Integration Ruble;Home
7;extend Tunisia encoding;calculating Handmade Gloves;Manager transmitter
8;withdrawal back-end Handcrafted;grow;Strategist
9;frame;optimize Rustic Berkshire;Frozen compress Massachusetts
10;Palau;International XSS;strategic Buckinghamshire
