id;season;typical_day;mode;time_interval;upload_date_time
1;Steel;Research;18865;47953;2021-12-21T12:48:07
2;Home Future-proofed;Intelligent Investor Bedfordshire;62670;41421;2021-12-21T19:27:59
3;Assistant Cambridgeshire parse;channels USB;12919;88219;2021-12-22T03:32:41
4;withdrawal Tools Avon;e-markets;63710;13982;2021-12-22T07:50:44
5;back-end;Handcrafted Chicken;84415;50807;2021-12-21T15:43:17
6;invoice d'Ivoire;bandwidth Central online;65081;33863;2021-12-21T12:20:30
7;relationships;bypassing;73406;24220;2021-12-22T03:29:06
8;Plastic Shoes Plastic;Corner Fantastic;61575;73802;2021-12-21T23:02:06
9;online New;International;32239;10593;2021-12-21T18:40:36
10;transparent Finland;copying;48974;84887;2021-12-21T13:33:18
