id;fbus;tbus;min;max;total_taps;tap;manufacture_year;commissioning_year
1;6336;80337;94427;29779;1246;31312;47995;49154
2;17213;9349;57289;43145;90616;71618;61556;75425
3;77923;47414;28328;39484;2451;82677;41958;25244
4;82495;50166;64640;87702;70829;58892;81386;36238
5;68927;42780;94430;22770;71628;78719;63879;95464
6;25486;19672;71540;81335;76925;6119;21869;27506
7;20509;50276;82853;70382;13114;90974;52244;29830
8;91673;7952;49604;8315;39713;73984;89106;33431
9;15578;29697;62647;8708;62609;9127;49117;91772
10;84524;43168;25353;60951;15209;55947;79579;86294
